index;id;x;y;lote;quadra;idLote;idQuadra
2815;1562;255420;7241340;L3291;Q34;24;1
2816;1561;255420;7241325;L3291;Q34;24;1
2817;1560;255420;7241310;L3291;Q34;24;1
2818;1559;255420;7241295;L3291;Q34;24;1
2819;1558;255420;7241280;L3291;Q34;24;1
2820;1557;255405;7241385;L3291;Q34;24;1
2821;1556;255405;7241370;L3291;Q34;24;1
2822;1555;255405;7241355;L3291;Q34;24;1
2823;1554;255405;7241340;L3291;Q34;24;1
2824;1553;255405;7241325;L3291;Q34;24;1
2825;1552;255405;7241310;L3291;Q34;24;1
2826;1551;255405;7241295;L3291;Q34;24;1
2827;1550;255405;7241280;L3291;Q34;24;1
2828;1549;255390;7241385;L3291;Q34;24;1
2829;1548;255390;7241370;L3291;Q34;24;1
2830;1547;255390;7241355;L3291;Q34;24;1
2831;1546;255390;7241340;L3291;Q34;24;1
2832;1545;255390;7241325;L3291;Q34;24;1
2833;1544;255390;7241310;L3291;Q34;24;1
2834;1543;255390;7241295;L3291;Q34;24;1
2835;1542;255390;7241280;L3291;Q34;24;1
2836;1541;255375;7241385;L3291;Q34;24;1
2837;1540;255375;7241370;L3291;Q34;24;1
2838;1539;255375;7241355;L3291;Q34;24;1
2839;1538;255375;7241340;L3291;Q34;24;1
2840;1537;255375;7241325;L3291;Q34;24;1
2841;1536;255375;7241310;L3291;Q34;24;1
2842;1535;255375;7241295;L3291;Q34;24;1
2843;1534;255375;7241280;L3291;Q34;24;1
2844;1533;255360;7241385;L3291;Q34;24;1
2845;1532;255360;7241370;L3291;Q34;24;1
2846;1531;255360;7241355;L3291;Q34;24;1
2847;1530;255360;7241340;L3291;Q34;24;1
2848;1529;255360;7241325;L3291;Q34;24;1
2849;1528;255360;7241310;L3291;Q34;24;1
2850;1527;255360;7241295;L3291;Q34;24;1
2851;1526;255360;7241280;L3291;Q34;24;1
2852;1525;255345;7241385;L3291;Q34;24;1
2853;1524;255345;7241370;L3291;Q34;24;1
2854;1523;255345;7241355;L3291;Q34;24;1
2855;1522;255345;7241340;L3291;Q34;24;1
2856;1521;255345;7241325;L3291;Q34;24;1
2857;1520;255345;7241310;L3291;Q34;24;1
2858;1519;255345;7241295;L3291;Q34;24;1
2860;1597;255420;7241145;L3292;Q34;25;1
2861;1596;255420;7241130;L3292;Q34;25;1
2870;1576;255375;7241190;L3292;Q34;25;1
2879;1567;255360;7241175;L3292;Q34;25;1
2885;1587;255390;7241235;L3292;Q34;25;1
2900;1609;255360;7241055;L3293;Q34;26;1
2905;1612;255360;7241100;L3293;Q34;26;1
2910;1636;255405;7241100;L3293;Q34;26;1
2915;1641;255420;7241055;L3293;Q34;26;1
2926;1625;255390;7241055;L3293;Q34;26;1
2931;1619;255375;7241085;L3293;Q34;26;1
2933;1617;255375;7241055;L3293;Q34;26;1
2940;88;255360;7240860;L3294;Q34;27;1
2941;89;255360;7240875;L3294;Q34;27;1
2946;94;255360;7240950;L3294;Q34;27;1
2949;97;255375;7240875;L3294;Q34;27;1
2953;101;255375;7240935;L3294;Q34;27;1
2962;110;255390;7240950;L3294;Q34;27;1
2986;3210;255375;7240770;L3295;Q34;28;1
2987;3211;255375;7240785;L3295;Q34;28;1
3015;3199;255360;7240725;L3295;Q34;28;1
3016;3200;255360;7240740;L3295;Q34;28;1
3027;2752;255390;7241910;L5175;Q34;29;1
3039;2740;255375;7241835;L5175;Q34;29;1
3041;2738;255360;7241895;L5175;Q34;29;1
3064;232;255480;7242150;L3183;Q36;0;2
3084;212;255435;7242225;L3183;Q36;0;2
3098;976;255480;7242075;L3213;Q36;1;2
3100;974;255480;7242045;L3213;Q36;1;2
3116;957;255435;7242060;L3213;Q36;1;2
3119;954;255435;7242015;L3213;Q36;1;2
3122;2845;255495;7242000;L3237;Q36;2;2
3123;2843;255480;7241985;L3237;Q36;2;2
3124;2844;255495;7241985;L3237;Q36;2;2
3135;1035;255465;7241895;L3238;Q36;3;2
3142;1059;255510;7241895;L3238;Q36;3;2
3143;1058;255510;7241880;L3238;Q36;3;2
3150;1051;255495;7241895;L3238;Q36;3;2
3152;1026;255450;7241880;L3238;Q36;3;2
3158;1044;255480;7241910;L3238;Q36;3;2
3184;1096;255600;7241865;L3239;Q36;4;2
3188;1100;255600;7241925;L3239;Q36;4;2
3199;1071;255555;7241850;L3239;Q36;4;2
3228;1119;255660;7241940;L3279;Q36;5;2
3231;1142;255705;7241940;L3279;Q36;5;2
3233;1103;255630;7241940;L3279;Q36;5;2
3236;1106;255645;7241865;L3279;Q36;5;2
3237;1107;255645;7241880;L3279;Q36;5;2
3240;1110;255645;7241925;L3279;Q36;5;2
3243;1113;255660;7241850;L3279;Q36;5;2
3250;1137;255705;7241865;L3279;Q36;5;2
3251;1136;255705;7241850;L3279;Q36;5;2
3252;1172;255675;7242030;L3280;Q36;6;2
3253;1173;255675;7242045;L3280;Q36;6;2
3254;1174;255675;7242060;L3280;Q36;6;2
3255;1175;255675;7242075;L3280;Q36;6;2
3256;1176;255675;7242090;L3280;Q36;6;2
3257;1177;255690;7241985;L3280;Q36;6;2
3258;1178;255690;7242000;L3280;Q36;6;2
3259;1179;255690;7242015;L3280;Q36;6;2
3260;1180;255690;7242030;L3280;Q36;6;2
3261;1181;255690;7242045;L3280;Q36;6;2
3262;1182;255690;7242060;L3280;Q36;6;2
3263;1183;255690;7242075;L3280;Q36;6;2
3264;1184;255690;7242090;L3280;Q36;6;2
3265;1185;255705;7241985;L3280;Q36;6;2
3266;1186;255705;7242000;L3280;Q36;6;2
3267;1187;255705;7242015;L3280;Q36;6;2
3268;1188;255705;7242030;L3280;Q36;6;2
3269;1189;255705;7242045;L3280;Q36;6;2
3270;1190;255705;7242060;L3280;Q36;6;2
3271;1191;255705;7242075;L3280;Q36;6;2
3272;1192;255705;7242090;L3280;Q36;6;2
3273;1145;255630;7241985;L3280;Q36;6;2
3274;1146;255630;7242000;L3280;Q36;6;2
3275;1147;255630;7242015;L3280;Q36;6;2
3276;1148;255630;7242030;L3280;Q36;6;2
